iter	Passed	Remaining
402	13704	95116
403	13742	95110
404	13781	95112
405	13818	95092
406	13842	94995
407	13880	94988
408	13915	94958
409	13949	94926
410	13985	94903
411	14019	94870
412	14055	94847
413	14087	94802
414	14119	94752
415	14153	94718
416	14184	94664
417	14219	94638
418	14256	94624
419	14291	94599
420	14314	94488
421	14348	94455
422	14381	94414
423	14411	94357
424	14448	94340
425	14481	94301
426	14518	94282
427	14554	94267
428	14591	94247
429	14624	94211
430	14660	94188
431	14694	94152
432	14725	94100
433	14757	94052
434	14792	94022
435	14825	93984
436	14858	93947
437	14893	93915
438	14931	93909
439	14972	93919
440	15009	93903
441	15046	93886
442	15080	93855
443	15114	93818
444	15135	93702
445	15170	93679
446	15203	93637
447	15238	93609
448	15278	93611
449	15316	93598
450	15347	93551
451	15382	93520
452	15404	93414
453	15440	93392
454	15476	93366
455	15514	93356
456	15549	93330
457	15582	93291
458	15619	93277
459	15656	93256
460	15690	93221
461	15722	93175
462	15756	93142
463	15792	93123
464	15828	93098
465	15863	93069
466	15897	93036
467	15930	92995
468	15969	92990
469	16003	92958
470	16037	92922
471	16070	92879
472	16101	92833
473	16137	92804
474	16171	92770
475	16206	92743
476	16242	92719
477	16275	92679
478	16310	92650
479	16346	92630
480	16377	92579
481	16415	92564
482	16449	92533
483	16484	92501
484	16519	92474
485	16553	92443
486	16591	92428
487	16625	92394
488	16660	92367
489	16696	92339
490	16726	92285
491	16759	92247
492	16792	92206
493	16827	92176
494	16863	92154
495	16898	92125
496	16933	92093
497	16968	92066
498	17000	92020
499	17037	92002
500	17071	91966
501	17105	91931
502	17140	91902
503	17175	91877
504	17211	91853
505	17246	91822
506	17281	91793
507	17315	91757
508	17350	91731
509	17383	91691
510	17420	91668
511	17454	91634
512	17489	91605
513	17523	91573
514	17563	91569
515	17595	91524
516	17627	91479
517	17662	91448
518	17693	91398
519	17727	91363
520	17760	91324
521	17794	91291
522	17826	91246
523	17854	91180
524	17888	91147
525	17920	91101
526	17957	91082
527	17992	91051
528	18027	91025
529	18062	90993
530	18096	90959
531	18127	90911
532	18158	90860
533	18191	90822
534	18225	90787
535	18258	90746
536	18292	90711
537	18326	90680
538	18358	90632
539	18393	90607
540	18430	90586
541	18464	90550
542	18496	90505
543	18532	90481
544	18563	90432
545	18596	90393
546	18626	90341
547	18661	90308
548	18693	90266
549	18730	90248
550	18765	90218
551	18798	90176
552	18830	90133
553	18865	90103
554	18901	90080
555	18935	90047
556	18968	90006
557	19000	89962
558	19031	89916
559	19063	89871
560	19094	89822
561	19127	89784
562	19164	89762
563	19198	89730
564	19235	89707
565	19268	89672
566	19306	89652
567	19340	89619
568	19373	89579
569	19408	89553
570	19442	89515
571	19472	89466
572	19506	89428
573	19538	89388
574	19572	89352
575	19607	89324
576	19640	89285
577	19671	89236
578	19705	89203
579	19736	89156
580	19765	89098
581	19800	89067
582	19835	89037
583	19869	89003
584	19903	88972
585	19934	88922
586	19968	88890
587	20005	88867
588	20040	88839
589	20076	88812
590	20107	88765
591	20140	88728
592	20174	88694
593	20206	88651
594	20241	88620
595	20276	88590
596	20311	88560
597	20348	88538
598	20383	88508
599	20418	88481
600	20452	88443
601	20487	88414
602	20516	88360
603	20552	88337
604	20588	88309
605	20622	88273
606	20654	88232
607	20687	88193
608	20720	88153
609	20755	88124
610	20787	88081
611	20821	88047
612	20855	88016
613	20893	87996
614	20926	87958
615	20961	87929
616	20994	87891
617	21029	87861
618	21065	87835
619	21099	87799
620	21135	87775
621	21171	87749
622	21203	87707
623	21240	87687
624	21272	87644
625	21304	87601
626	21338	87567
627	21374	87539
628	21409	87508
629	21443	87474
630	21478	87446
631	21511	87406
632	21549	87388
633	21582	87352
634	21617	87320
635	21648	87274
636	21681	87235
637	21717	87210
638	21749	87166
639	21783	87135
640	21819	87109
641	21855	87081
642	21890	87049
643	21925	87019
644	21951	86957
645	21987	86927
646	22018	86882
647	22055	86862
648	22091	86832
649	22127	86806
650	22163	86782
651	22197	86747
652	22227	86699
653	22264	86675
654	22297	86635
655	22332	86605
