iter	Logloss
0	0.6753984776
1	0.6583126037
2	0.6416872076
3	0.6251817646
4	0.6089210759
5	0.5942122754
6	0.5790709909
7	0.5652475036
8	0.5516431153
9	0.5384094425
10	0.5255056768
11	0.5135867816
12	0.5015892379
13	0.4900261502
14	0.4789442189
15	0.4682463287
16	0.4574286702
17	0.4474253295
18	0.4370734054
19	0.4279826061
20	0.4182751689
21	0.409512319
22	0.4013130009
23	0.3928398093
24	0.3844270533
25	0.376466007
26	0.368563433
27	0.3613543047
28	0.3532563479
29	0.3461686575
30	0.3393927598
31	0.3331110725
32	0.3272664486
33	0.3209883327
34	0.3145887928
35	0.3081635125
36	0.3028382819
37	0.2978521485
38	0.292731721
39	0.2873059606
40	0.2824754418
41	0.2768657878
42	0.2719961829
43	0.2683882116
44	0.2638057328
45	0.2593086563
46	0.2547513021
47	0.2509147156
48	0.2466776581
49	0.2426832418
50	0.2389053525
51	0.2353361642
52	0.2319240948
53	0.2280950208
54	0.2240491443
55	0.2210289696
56	0.2174292094
57	0.2144179306
58	0.2116265579
59	0.2086248972
60	0.2057795109
61	0.202712936
62	0.1998681046
63	0.1975805008
64	0.1951425431
65	0.19218276
66	0.1897698599
67	0.1875518326
68	0.1854723339
69	0.1834122477
70	0.1812704585
71	0.1791206113
72	0.1772160988
73	0.1753183754
74	0.1734237841
75	0.1714836365
76	0.1697015398
77	0.1681166712
78	0.1664603608
79	0.1648839793
80	0.1632473463
81	0.1621140121
82	0.1605395171
83	0.1595231413
84	0.1581518477
85	0.1571655398
86	0.1557496438
87	0.1544978028
88	0.1533797914
89	0.1521601099
90	0.1509582435
91	0.1498129568
92	0.1490175133
93	0.1477852892
94	0.1466858322
95	0.1450967262
96	0.143545023
97	0.1424921802
98	0.1416200176
99	0.1403593378
100	0.1392939018
101	0.1387264634
102	0.1374975244
103	0.1366877533
104	0.1360182303
105	0.13516112
106	0.134363582
107	0.1336525367
108	0.1328439355
109	0.1317313373
110	0.1306609207
111	0.1298809225
112	0.1290633879
113	0.1282379775
114	0.1275775776
115	0.1270010232
116	0.1263471489
117	0.1256664713
118	0.1249885735
119	0.1241291348
120	0.1235594466
121	0.1229041216
122	0.1221191822
123	0.1215716764
124	0.1210419602
125	0.1203379452
126	0.1197358456
127	0.1192810183
128	0.1186929715
129	0.1181982895
130	0.1177686341
131	0.1170695674
132	0.1166190834
133	0.116060933
134	0.1151800361
135	0.114597172
136	0.1142311098
137	0.1138269131
138	0.1134229195
139	0.1129025947
140	0.1120884667
141	0.1117758224
142	0.1113813529
143	0.1108490031
144	0.1105294805
145	0.1100036871
146	0.1096751617
147	0.1090611004
148	0.1085987997
149	0.1083308705
150	0.1080446623
151	0.1073457613
152	0.1070495877
153	0.1066415825
154	0.1061987485
155	0.1059294607
156	0.105670063
157	0.1054490888
158	0.1050391037
159	0.1045087743
160	0.1041432559
161	0.1038591599
162	0.1032104786
163	0.102942154
164	0.1027067805
165	0.1023756372
166	0.1021452057
167	0.1019270328
168	0.1014058827
169	0.1011992866
170	0.1008003679
171	0.1005438233
172	0.1001676858
173	0.1000005711
174	0.09971218463
175	0.0995232212
176	0.0993515986
177	0.09900313451
178	0.09886453504
179	0.09871188924
180	0.09829010828
181	0.09783625061
182	0.09771695011
183	0.09757346608
184	0.09733670766
185	0.09706382584
186	0.09689294799
187	0.09672154678
188	0.09656356754
189	0.09631505165
190	0.09601516574
191	0.09577549202
192	0.09556837228
193	0.09518887204
194	0.0950765815
195	0.09487276563
196	0.09471140622
197	0.09446819086
198	0.09421098125
199	0.09399400171
200	0.09387069019
201	0.09351787425
202	0.09316973171
203	0.09305713006
204	0.09289612255
205	0.09278547933
206	0.09265843925
207	0.09249148192
208	0.09239668081
209	0.09206687656
210	0.09176045559
211	0.09147500918
212	0.09127002675
213	0.09116947264
214	0.09107893258
215	0.09087627199
216	0.09077464258
217	0.09061206951
218	0.09044774013
219	0.09036329379
220	0.09027356764
221	0.09008677002
222	0.08995266884
223	0.08986732111
224	0.08960313598
225	0.08936923591
226	0.08927362812
227	0.08911107671
228	0.08903010379
229	0.08887185673
230	0.0887185779
231	0.08858616026
232	0.08850912827
233	0.08840735328
234	0.08815976755
235	0.08808756437
236	0.08798742669
237	0.08782036604
238	0.08767496955
239	0.08758501165
240	0.08743155126
241	0.08728454685
242	0.08718803544
243	0.08711712735
244	0.08704712141
245	0.08695593733
246	0.08689249448
247	0.08683068387
248	0.08676355377
249	0.08669898894
250	0.08654440708
251	0.08646692813
252	0.0862541044
253	0.08607262752
254	0.0859428377
255	0.08587765164
256	0.08578590884
257	0.08567274124
258	0.08562172545
259	0.08546050876
260	0.08536840769
261	0.08530034722
262	0.08523085935
263	0.0851175089
264	0.08501442313
265	0.08493611949
266	0.08478983813
267	0.08465853385
268	0.08450442709
269	0.08446038201
270	0.08441667162
271	0.08436702283
272	0.08425391411
273	0.08414975992
274	0.0840165451
275	0.08397817736
276	0.08392852088
277	0.08387819129
278	0.08377879914
279	0.08371382106
280	0.08365573024
281	0.08362390554
282	0.08356172028
283	0.08335289
284	0.0833115638
285	0.08321504135
286	0.08319218034
287	0.0831374645
288	0.08309054936
289	0.08295281803
290	0.08288527493
291	0.08284505445
292	0.08275640146
293	0.08271068607
294	0.0826775079
295	0.08263735596
296	0.08259701669
297	0.08250249181
298	0.08244405223
299	0.08241011787
300	0.08233206198
301	0.08225480181
302	0.08221416829
303	0.08220036533
304	0.0821297516
305	0.081990281
306	0.08195090449
307	0.08188152353
308	0.08183843447
309	0.08179634678
310	0.08167535671
311	0.08163200442
312	0.08148636155
313	0.08145294241
314	0.08136507487
315	0.08128562588
316	0.08124109525
317	0.08117190517
318	0.08110152925
319	0.08103792526
320	0.08096229399
321	0.08090535254
322	0.08085052331
323	0.08078342546
324	0.08074283996
325	0.08070279069
326	0.08067252528
327	0.08059965226
328	0.08056698611
329	0.08048887388
330	0.08044416023
331	0.08042311058
332	0.08039267142
333	0.08036146091
334	0.0802952696
335	0.08025408419
336	0.08015072468
337	0.08006112485
338	0.07997371945
339	0.07991157026
340	0.07989547804
341	0.07987105283
342	0.07985837646
343	0.0797946329
344	0.07972362523
345	0.07965726452
346	0.07957470653
347	0.0795496685
348	0.07950276352
349	0.07943705311
350	0.07941552454
351	0.07939038051
352	0.07936147328
353	0.07933436997
354	0.07931410655
355	0.07921905969
356	0.07920472725
357	0.07915158789
358	0.07909598898
359	0.0790822534
360	0.0790379848
361	0.07899583645
362	0.07898008224
363	0.07890824333
364	0.0788189088
365	0.07877996025
366	0.07876213351
367	0.07867967743
368	0.07866198556
369	0.07864076819
370	0.07859099602
371	0.07848647669
372	0.07841862278
373	0.07839171144
374	0.07837137487
375	0.07833724347
376	0.0783212321
377	0.07829071084
378	0.07824378225
379	0.07822675849
380	0.07817197225
381	0.0780958315
382	0.07808024863
383	0.07805495693
384	0.07803434083
385	0.07801227502
386	0.07797452996
387	0.07795539894
388	0.07791057285
389	0.07788349465
390	0.07786080965
391	0.07782032393
392	0.0777482032
393	0.07769442934
394	0.07763287192
395	0.07759410517
396	0.07753829425
397	0.07752178404
398	0.07746794662
399	0.07744318877
400	0.07741637297
401	0.07735123935
402	0.07731181885
403	0.07728704032
404	0.07727347811
405	0.07724485132
406	0.07721022263
407	0.07719232909
408	0.07714720364
409	0.07713777412
410	0.07711145103
411	0.07709113341
412	0.07698080938
413	0.07687056045
414	0.07685348456
415	0.07678998129
416	0.07676363688
417	0.07669265326
418	0.07666221161
419	0.0766372127
420	0.07660641275
421	0.07658669586
422	0.07656974304
423	0.0764969838
424	0.0764604493
425	0.07639458036
426	0.07637962088
427	0.07634614953
428	0.07632793555
429	0.07628635333
430	0.07626109293
431	0.07625136117
432	0.07621469907
433	0.07618542764
434	0.07616311472
435	0.07606161403
436	0.07603923735
437	0.07600971529
438	0.07598832429
439	0.07595951812
440	0.07593230694
441	0.07591166684
442	0.07587443494
443	0.07579925493
444	0.07576584956
445	0.07574501304
446	0.07572358167
447	0.07570878215
448	0.07567987422
449	0.07561019911
450	0.07558771981
451	0.07557642609
452	0.07556746195
453	0.07552220626
454	0.07550351781
455	0.07543836751
456	0.07542501337
457	0.07540787995
458	0.07537116958
459	0.07536687523
460	0.07530312209
461	0.07529127014
462	0.07524809379
463	0.07520505643
464	0.0751669646
465	0.07513419166
466	0.07508909744
467	0.0750685502
468	0.07505080941
469	0.074998328
470	0.07498519554
471	0.07496225148
472	0.07493784604
473	0.07492836774
474	0.07490993687
475	0.07488286189
476	0.07484846919
477	0.0748028557
478	0.07479280711
479	0.07477462128
480	0.07475762761
481	0.07474165954
482	0.07470157009
483	0.07469154767
484	0.07467238378
485	0.07462672945
486	0.07460795471
487	0.07460174047
488	0.07458958877
489	0.07458124046
490	0.07456125515
491	0.07452429412
492	0.07448112408
493	0.07443110732
494	0.07441975796
495	0.07437237147
496	0.0743650373
497	0.0743558294
498	0.07434876709
499	0.07431214699
500	0.07429172267
501	0.07428402737
502	0.07426208771
503	0.07425299118
504	0.07424632401
505	0.07419997231
506	0.07418303209
507	0.07414567871
508	0.0740969586
509	0.07407944089
510	0.07407090109
511	0.07405289718
512	0.07399510314
513	0.07399210582
514	0.07397796963
515	0.07395131266
516	0.07393943191
517	0.07389952097
518	0.07388549873
519	0.07384155574
520	0.07379663866
521	0.07374847631
522	0.07373288207
523	0.07372336789
524	0.07372336788
525	0.07370058472
526	0.07365087222
527	0.07364810117
528	0.07363982397
529	0.07360444258
530	0.07357981104
531	0.07355082985
532	0.07354148069
533	0.07352310189
534	0.07352269461
535	0.07349385632
536	0.07348783486
537	0.07346575904
538	0.07343426228
539	0.0734286319
540	0.07341845469
541	0.07332862571
542	0.07327906073
543	0.07326148546
544	0.07323521873
545	0.07322003109
546	0.07321480587
547	0.07318724613
548	0.07317829262
549	0.07317061115
550	0.07314970862
551	0.07313017468
552	0.07310546092
553	0.07305481173
554	0.07304690834
555	0.0730301381
556	0.07302227543
557	0.07300701608
558	0.07300701557
559	0.07299468251
560	0.07298146517
561	0.07295058552
562	0.0729368634
563	0.07291468344
564	0.07289642672
565	0.07283931285
566	0.0728326571
567	0.07282358596
568	0.07281678341
569	0.07280619756
570	0.07279462612
571	0.07279462612
572	0.07276155887
573	0.07275521399
574	0.07272303392
575	0.07271378743
576	0.07269004947
577	0.0726735021
578	0.07266561385
579	0.07265584202
580	0.07264347552
581	0.07261110263
582	0.07260469822
583	0.07259516077
584	0.07259187513
585	0.07258039691
586	0.07257464706
587	0.07254725652
588	0.07246857532
589	0.07246851608
590	0.07246243499
591	0.07244229273
592	0.07238718397
593	0.07233071175
594	0.07230820786
595	0.07226849296
596	0.07226315698
597	0.07225250235
598	0.07224278918
599	0.07222762483
600	0.07220408408
601	0.07218467576
602	0.07213349075
603	0.07209428691
604	0.07209083376
605	0.07208364407
606	0.07206799332
607	0.07205821123
608	0.0720132873
609	0.07198089518
610	0.07195166238
611	0.0719516621
612	0.07193795206
613	0.07190308519
614	0.07189597982
615	0.07188365284
616	0.07183861639
617	0.07183396006
618	0.0718236659
619	0.07181005314
620	0.07180071443
